a: Array(float, 2) | Array(float, 1) | Array(int, 2) | Array(int, 1) | Array(bool, 2) | Array(bool, 1) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 2)) | List(Array(float, 1)) | List(Array(int, 2)) | List(Array(int, 1)) | List(Array(bool, 2))
value2: Array(int, 1) | Array(int, 2) | Array(int, 3) | Array(float, 1) | Array(float, 2) | Array(float, 3) | Array(bool, 1) | Array(bool, 2) | Array(bool, 3) | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | int | float | bool | List(Array(int, 1)) | List(Array(int, 2))
idx2: Array(int, 1) | Array(int, 2) | Array(int, 3) | Array(float, 1) | Array(float, 2) | Array(float, 3) | Array(bool, 1) | Array(bool, 2) | Array(bool, 3) | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | int | float | bool | List(Array(int, 1)) | List(Array(int, 2))
k2i3: Array(int, 1) | Array(int, 2) | Array(int, 3) | Array(float, 1) | Array(float, 2) | Array(float, 3) | Array(bool, 1) | Array(bool, 2) | Array(bool, 3) | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | int | float | bool | List(Array(int, 1)) | List(Array(int, 2))
value3: Array(int, 1) | Array(int, 2) | Array(int, 3) | Array(float, 1) | Array(float, 2) | Array(float, 3) | Array(bool, 1) | Array(bool, 2) | Array(bool, 3) | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | int | float | bool | List(Array(int, 1)) | List(Array(int, 2))
idx3: Array(int, 1) | Array(int, 2) | Array(int, 3) | Array(float, 1) | Array(float, 2) | Array(float, 3) | Array(bool, 1) | Array(bool, 2) | Array(bool, 3) | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | int | float | bool | List(Array(int, 1)) | List(Array(int, 2))
data: Array(float, 2) | Array(float, 1) | Array(int, 2) | Array(int, 1) | Array(bool, 2) | Array(bool, 1) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 2)) | List(Array(float, 1)) | List(Array(int, 2)) | List(Array(int, 1)) | List(Array(bool, 2)) | List(Array(bool, 1))
queries: Array(float, 2) | Array(float, 1) | Array(int, 2) | Array(int, 1) | Array(bool, 2) | Array(bool, 1) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 2)) | List(Array(float, 1)) | List(Array(int, 2)) | List(Array(int, 1)) | List(Array(bool, 2))
qi: int | float | bool | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | List(Array(int, 2)) | List(Array(int, 1)) | List(Array(float, 2)) | List(Array(float, 1)) | List(Array(bool, 2)) | List(Array(bool, 1)) | Array(int, 2) | Array(int, 1) | Array(float, 2) | Array(float, 1) | Array(bool, 2)
v_entry: int | float | bool | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | List(Array(int, 2)) | List(Array(int, 1)) | List(Array(float, 2)) | List(Array(float, 1)) | List(Array(bool, 2)) | List(Array(bool, 1)) | Array(int, 2) | Array(int, 1) | Array(float, 2) | Array(float, 1) | Array(bool, 2)
ef: int | float | bool | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | List(Array(int, 2)) | List(Array(int, 1)) | List(Array(float, 2)) | List(Array(float, 1)) | List(Array(bool, 2)) | List(Array(bool, 1)) | Array(int, 2) | Array(int, 1) | Array(float, 2) | Array(float, 1) | Array(bool, 2)
n_results: int | float | bool | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | List(Array(int, 2)) | List(Array(int, 1)) | List(Array(float, 2)) | List(Array(float, 1)) | List(Array(bool, 2)) | List(Array(bool, 1)) | Array(int, 2) | Array(int, 1) | Array(float, 2) | Array(float, 1) | Array(bool, 2)
